name;slug;value;date_of_information;ranking;region
"South Sudan";"south-sudan";"121,000";"2020";181;"Africa"
"Antigua and Barbuda";"antigua-and-barbuda";"117,000";"2020";182;"Central America and the Caribbean"
"Burundi";"burundi";"100,000";"2020";183;"Africa"
"Saint Lucia";"saint-lucia";"92,000";"2020";184;"Central America and the Caribbean"
"Somalia";"somalia";"91,000";"2020";185;"Africa"
"Chad";"chad";"87,000";"2020";186;"Africa"
"Turks and Caicos Islands";"turks-and-caicos-islands";"85,000";"2020";187;"Central America and the Caribbean"
"Lesotho";"lesotho";"74,000";"2020";188;"Africa"
"Saint Kitts and Nevis";"saint-kitts-and-nevis";"71,000";"2020";189;"Central America and the Caribbean"
"Grenada";"grenada";"55,000";"2020";190;"Central America and the Caribbean"
"Samoa";"samoa";"50,000";"2020";191;"Australia and Oceania"
"Saint Vincent and the Grenadines";"saint-vincent-and-the-grenadines";"49,000";"2020";192;"Central America and the Caribbean"
"American Samoa";"american-samoa";"47,000";"2020";193;"Australia and Oceania"
"Gibraltar";"gibraltar";"43,000";"2020";194;"Europe"
"Dominica";"dominica";"42,000";"2020";195;"Central America and the Caribbean"
"Solomon Islands";"solomon-islands";"40,000";"2020";196;"Australia and Oceania"
"Central African Republic";"central-african-republic";"38,000";"2020";197;"Africa"
"Vanuatu";"vanuatu";"35,000";"2020";198;"Australia and Oceania"
"Comoros";"comoros";"35,000";"2020";199;"Africa"
"British Virgin Islands";"british-virgin-islands";"33,000";"2020";200;"Central America and the Caribbean"
"Sao Tome and Principe";"sao-tome-and-principe";"28,000";"2020";201;"Africa"
"Guinea-Bissau";"guinea-bissau";"28,000";"2020";202;"Africa"
"Tonga";"tonga";"26,000";"2020";203;"Australia and Oceania"
"Saint Pierre and Miquelon";"saint-pierre-and-miquelon";"26,000";"2020";204;"North America"
"Cook Islands";"cook-islands";"18,000";"2020";205;"Australia and Oceania"
"Nauru";"nauru";"15,000";"2020";206;"Australia and Oceania"
"Kiribati";"kiribati";"11,000";"2020";207;"Australia and Oceania"
"Falkland Islands (Islas Malvinas)";"falkland-islands-islas-malvinas";"11,000";"2020";208;"South America"
"Saint Helena, Ascension, and Tristan da Cunha";"saint-helena-ascension-and-tristan-da-cunha";"8,000";"2020";209;"Africa"
"Montserrat";"montserrat";"5,000";"2020";210;"Central America and the Caribbean"
"Niue";"niue";"3,000";"2020";211;"Australia and Oceania"
"Antarctica";"antarctica";"0";"2020";212;"Antarctica"
"Wake Island";"wake-island";"0";"2020";213;"Australia and Oceania"
